transition,f1,precision,recall,roc_auc,accuracy,balanced_accuracy,mcc,n_train,n_val,n_test,timestamp
EI,0.9839781164517389,0.9952569169960475,0.972952086553323,0.9980722841686906,0.9847809948032665,0.9843331861338043,0.9697147512040935,13849,3154,5388,2026-02-23T10:23:06
EZ,0.580046403712297,0.415973377703827,0.9578544061302682,0.5571093546425779,0.4498480243161094,0.536861711881255,0.1282172149347223,1439,509,658,2026-02-23T09:35:42
IE,0.9745795854517012,0.9865399841646872,0.9629057187017002,0.9975451258555972,0.9758723088344468,0.9753814307794216,0.9518792789249668,13849,3154,5388,2026-02-23T08:48:46
ZE,0.6099071207430341,0.5116883116883116,0.7547892720306514,0.7121514809345957,0.6170212765957447,0.6406188173755272,0.2792397596830629,1439,509,658,2026-02-23T09:03:23
